producto_id,categoria,marca,temporada,talla,color,precio_original,porcentaje_descuento,precio_actual,fecha_compra,cantidad_stock,calificacion_cliente,devolucion,motivo_devolucion
FB000082,Tops,Ann Taylor,Otoño,M,White,113.17,19.1,91.55,2025-08-06,15,4.9,No,
FB000083,Vestidos,Ann Taylor,Invierno,S,Blue,174.13,0.0,174.13,2025-08-06,34,3.7,No,
FB000084,Zapatos,Zara,Verano,XS,Purple,191.96,0.0,191.96,2025-08-06,50,,No,
FB000085,Ropa de abrigo,Ann Taylor,Primavera,XL,Beige,222.55,22.6,172.25,2025-02-10,50,,No,
FB000086,Pantalones,Forever21,Invierno,XS,Black,37.85,11.9,33.35,2025-08-06,45,3.4,Si,Cambio de opinión
FB000087,Ropa de abrigo,Uniqlo,Verano,M,Gray,241.09,0.0,241.09,2025-08-06,26,,No,
FB000088,Vestidos,Banana Republic,Primavera,S,Navy,136.97,0.0,136.97,2024-10-25,17,4.4,Si,Problema de calidad
FB000089,Zapatos,H&M,Primavera,M,Blue,113.79,55.3,50.86,2024-12-29,47,4.1,No,
FB000090,Pantalones,H&M,Verano,XXL,White,93.23,40.0,55.94,2025-08-06,46,1.9,No,
FB000091,Zapatos,Uniqlo,Primavera,S,Navy,106.24,6.4,99.44,2024-09-09,50,1.5,No,
FB000092,Accesorios,Zara,Invierno,,Brown,30.95,0.0,30.95,2025-08-06,27,3.1,Si,Cambio de opinión
FB000093,Zapatos,Zara,Verano,S,Black,76.92,49.5,38.84,2025-08-06,7,1.1,No,
FB000094,Pantalones,H&M,Otoño,XS,Beige,80.64,0.0,80.64,2025-08-06,26,,No,
FB000095,Pantalones,Zara,Otoño,XS,Beige,32.46,52.4,15.45,2025-08-06,14,3.9,No,
FB000096,Accesorios,Gap,Verano,,Black,54.79,0.0,54.79,2025-08-06,12,4.5,No,
FB000097,Pantalones,H&M,Invierno,M,Pink,71.14,56.4,31.02,2025-08-06,12,3.4,No,
FB000098,Pantalones,Ann Taylor,Verano,XXL,Navy,57.85,0.0,57.85,2025-08-06,36,3.5,No,
FB000099,Pantalones,Zara,Verano,XS,Green,33.37,3.0,32.37,2025-08-06,40,1.3,No,
FB000100,Tops,Gap,Verano,L,Black,91.83,0.0,91.83,2025-08-06,39,4.9,No,
FB000101,Pantalones,Zara,Otoño,L,White,60.12,19.5,48.4,2025-08-06,42,1.0,No,
FB000102,Vestidos,Banana Republic,Invierno,S,White,163.5,0.0,163.5,2025-08-06,34,4.9,No,
FB000103,Vestidos,Uniqlo,Primavera,S,Beige,126.37,0.0,126.37,2024-11-08,25,1.8,No,
FB000104,Pantalones,Uniqlo,Invierno,L,Navy,50.01,58.2,20.9,2025-08-06,32,4.8,No,
FB000105,Zapatos,H&M,Invierno,S,Red,84.31,0.0,84.31,2025-08-06,10,3.9,No,
FB000106,Pantalones,Banana Republic,Primavera,XL,Beige,100.98,0.0,100.98,2025-06-17,21,2.8,No,
FB000107,Pantalones,Banana Republic,Verano,M,Beige,38.02,0.0,38.02,2025-08-06,44,4.7,No,
FB000108,Pantalones,H&M,Otoño,XL,Blue,63.85,0.0,63.85,2025-08-06,41,,No,
FB000109,Zapatos,H&M,Otoño,XS,Navy,183.15,0.0,183.15,2025-08-06,23,4.1,No,
FB000110,Vestidos,Zara,Invierno,S,Gray,91.0,59.5,36.86,2025-08-06,5,3.9,No,
FB000111,Ropa de abrigo,Uniqlo,Primavera,L,Black,92.83,0.0,92.83,2025-07-20,9,1.2,No,
FB000112,Accesorios,Banana Republic,Invierno,,Brown,34.45,0.0,34.45,2025-08-06,4,4.5,No,
FB000113,Vestidos,H&M,Otoño,S,Purple,128.15,50.0,64.08,2025-08-06,28,3.2,No,
FB000114,Tops,Mango,Verano,XXL,Red,99.62,33.8,65.95,2025-08-06,27,2.1,No,
FB000115,Pantalones,Forever21,Invierno,S,Pink,87.39,25.5,65.11,2025-08-06,8,2.3,No,
FB000116,Tops,Zara,Primavera,XXL,Brown,49.67,0.0,49.67,2024-09-06,37,2.3,No,
FB000117,Accesorios,Uniqlo,Otoño,,Brown,72.04,0.0,72.04,2025-08-06,48,,Si,Artículo incorrecto
FB000118,Vestidos,Zara,Primavera,M,Navy,133.82,0.0,133.82,2024-11-25,12,1.7,No,
FB000119,Pantalones,Uniqlo,Invierno,S,Black,62.93,0.0,62.93,2025-08-06,49,,No,
FB000120,Ropa de abrigo,Zara,Primavera,L,Red,248.58,0.0,248.58,2025-07-04,27,1.5,No,
FB000121,Zapatos,Uniqlo,Otoño,XXL,Navy,61.08,0.0,61.08,2025-08-06,27,,Si,Cambio de opinión
FB000122,Pantalones,Gap,Invierno,S,Red,109.12,0.0,109.12,2025-08-06,34,,No,
FB000123,Ropa de abrigo,Zara,Invierno,XXL,Purple,82.91,45.9,44.85,2025-08-06,24,,Si,Problema de calidad
FB000124,Zapatos,H&M,Verano,XS,Purple,113.53,10.9,101.16,2025-08-06,40,2.8,No,
FB000125,Accesorios,Uniqlo,Invierno,,Brown,38.89,51.5,18.86,2025-08-06,28,4.3,No,
FB000126,Vestidos,Gap,Primavera,XXL,Black,53.01,45.9,28.68,2025-01-14,37,3.7,No,
FB000127,Zapatos,Ann Taylor,Primavera,XXL,Blue,81.64,0.0,81.64,2024-12-06,50,1.1,No,
FB000128,Zapatos,Ann Taylor,Primavera,XXL,White,125.24,21.5,98.31,2024-09-06,7,2.9,No,
FB000129,Ropa de abrigo,Ann Taylor,Primavera,XS,Pink,98.61,0.0,98.61,2025-03-05,1,2.6,No,
FB000130,Zapatos,Gap,Otoño,XS,Blue,77.54,0.0,77.54,2025-08-06,36,3.4,No,
FB000131,Vestidos,Banana Republic,Primavera,XL,Purple,79.13,0.0,79.13,2024-11-16,11,3.6,No,
FB000132,Pantalones,Mango,Primavera,S,Green,96.11,0.0,96.11,2025-04-12,13,4.2,No,
FB000133,Tops,Mango,Primavera,XL,White,116.61,0.0,116.61,2024-11-04,31,,No,
FB000134,Accesorios,Ann Taylor,Invierno,,Blue,57.8,27.0,42.19,2025-08-06,9,1.8,No,
FB000135,Tops,H&M,Primavera,S,White,110.78,0.0,110.78,2025-01-13,9,1.4,No,
FB000136,Tops,Gap,Primavera,L,Black,112.63,0.0,112.63,2024-10-14,50,3.6,Si,Problema de calidad
FB000137,Tops,H&M,Verano,XS,Purple,89.36,0.0,89.36,2025-08-06,24,4.3,Si,Dañado
FB000138,Ropa de abrigo,Forever21,Otoño,M,Pink,127.99,0.0,127.99,2025-08-06,16,,No,
FB000139,Pantalones,Zara,Invierno,XXL,Beige,54.88,58.8,22.61,2025-08-06,50,3.5,No,
FB000140,Zapatos,Uniqlo,Primavera,L,White,154.13,0.0,154.13,2024-10-01,31,4.1,Si,Problema de tamaño
FB000141,Vestidos,Ann Taylor,Primavera,XS,Gray,131.5,0.0,131.5,2024-11-03,5,,No,
FB000142,Ropa de abrigo,Gap,Verano,M,Blue,133.26,0.0,133.26,2025-08-06,29,1.3,No,
FB000143,Zapatos,Forever21,Invierno,XL,Red,173.91,0.0,173.91,2025-08-06,21,,No,
FB000144,Tops,H&M,Primavera,L,Beige,102.99,0.0,102.99,2025-07-16,41,3.9,No,
FB000145,Ropa de abrigo,Zara,Primavera,L,Beige,87.78,45.3,48.02,2025-02-17,34,1.8,No,
FB000146,Tops,Uniqlo,Invierno,,Beige,91.8,15.8,77.3,2025-08-06,30,4.2,No,
FB000147,Tops,Zara,Invierno,L,White,107.32,25.4,80.06,2025-08-06,50,4.4,No,
FB000148,Pantalones,Banana Republic,Primavera,XXL,Brown,67.69,57.3,28.9,2025-07-24,50,4.6,No,
FB000149,Tops,Ann Taylor,Verano,M,Beige,68.11,46.0,36.78,2025-08-06,3,2.5,No,
FB000150,Zapatos,Banana Republic,Primavera,L,Blue,94.29,0.0,94.29,2024-09-15,18,1.7,No,
FB000151,Tops,Ann Taylor,Invierno,XL,Gray,94.97,0.0,94.97,2025-08-06,46,4.3,No,
FB000152,Zapatos,Banana Republic,Invierno,M,Navy,65.87,11.4,58.36,2025-08-06,15,3.9,No,
FB000153,Vestidos,Zara,Invierno,XXL,Blue,155.06,29.4,109.47,2025-08-06,5,3.6,No,
FB000154,Ropa de abrigo,Zara,Invierno,L,Brown,172.59,0.0,172.59,2025-08-06,1,2.1,No,
FB000155,Vestidos,H&M,Verano,M,Blue,68.72,0.0,68.72,2025-08-06,28,1.7,Si,Problema de calidad
FB000156,Tops,Banana Republic,Primavera,XL,Blue,28.78,0.0,28.78,2024-10-03,21,,No,
FB000157,Ropa de abrigo,H&M,Invierno,XXL,Black,110.32,28.3,79.1,2025-08-06,49,3.3,No,
FB000158,Zapatos,Mango,Verano,XXL,Black,194.24,0.0,194.24,2025-08-06,17,1.2,Si,Cambio de opinión
FB000159,Zapatos,Gap,Otoño,XS,Beige,175.91,0.0,175.91,2025-08-06,4,2.8,No,
FB000160,Pantalones,Mango,Invierno,XXL,Gray,79.34,0.0,79.34,2025-08-06,30,4.4,No,
FB000161,Pantalones,H&M,Verano,M,Green,111.88,0.0,111.88,2025-08-06,41,4.5,No,
FB000162,Accesorios,Gap,Primavera,,Navy,42.84,40.6,25.45,2024-09-12,18,2.6,No,
FB000163,Pantalones,Gap,Primavera,XXL,Navy,26.28,1.1,25.99,2025-06-20,35,5.0,No,
FB000164,Accesorios,H&M,Primavera,,Green,23.11,0.0,23.11,2024-09-17,2,1.4,No,
FB000165,Zapatos,Zara,Invierno,M,White,168.36,0.0,168.36,2025-08-06,47,,Si,Dañado
FB000166,Zapatos,Gap,Otoño,XL,Green,99.26,0.0,99.26,2025-08-06,33,,Si,Problema de calidad
FB000167,Accesorios,Mango,Primavera,,Black,53.66,0.0,53.66,2024-12-19,40,2.8,No,
FB000168,Accesorios,Ann Taylor,Verano,,Gray,69.71,18.0,57.16,2025-08-06,34,4.2,Si,Discrepancia de color
FB000169,Vestidos,Forever21,Otoño,XXL,Gray,60.3,21.4,47.4,2025-08-06,4,3.6,No,
FB000170,Zapatos,Banana Republic,Invierno,XXL,Red,113.58,0.0,113.58,2025-08-06,33,4.9,Si,Artículo incorrecto
FB000171,Pantalones,Ann Taylor,Otoño,XS,Brown,54.86,1.7,53.93,2025-08-06,40,2.5,No,
FB000172,Tops,Zara,Invierno,XS,Red,92.25,0.0,92.25,2025-08-06,13,2.8,Si,Dañado
FB000173,Accesorios,Ann Taylor,Invierno,,White,54.07,0.0,54.07,2025-08-06,47,4.6,No,
FB000174,Zapatos,Banana Republic,Invierno,XL,Red,104.4,0.0,104.4,2025-08-06,41,3.4,No,
FB000175,Vestidos,Ann Taylor,Primavera,M,Gray,45.97,0.0,45.97,2024-08-28,37,3.2,Si,Problema de calidad
FB000176,Tops,Ann Taylor,Verano,XXL,Black,28.79,0.0,28.79,2025-08-06,4,4.4,No,
FB000177,Ropa de abrigo,Uniqlo,Invierno,M,Gray,204.21,0.0,204.21,2025-08-06,5,3.3,No,
FB000178,Zapatos,Mango,Otoño,XXL,Pink,190.75,20.0,152.6,2025-08-06,47,,No,
FB000179,Tops,Forever21,Invierno,XS,Brown,33.01,39.2,20.07,2025-08-06,16,3.7,No,
FB000180,Accesorios,Banana Republic,Primavera,,Blue,47.61,39.8,28.66,2024-12-03,18,1.3,No,
FB000181,Ropa de abrigo,H&M,Primavera,XS,Red,137.16,0.0,137.16,2024-09-26,34,3.2,No,
FB000182,Tops,Gap,Otoño,M,Navy,108.49,0.0,108.49,2025-08-06,7,3.3,No,
FB000183,Tops,Banana Republic,Invierno,XL,Green,106.49,0.0,106.49,2025-08-06,23,4.0,No,
FB000184,Tops,Mango,Invierno,XXL,Pink,114.86,0.0,114.86,2025-08-06,48,1.1,No,
FB000185,Vestidos,Zara,Otoño,L,Blue,121.68,0.0,121.68,2025-08-06,9,1.5,No,
FB000186,Pantalones,Zara,Verano,XXL,Black,74.08,3.9,71.19,2025-08-06,37,1.7,No,
FB000187,Tops,Gap,Otoño,M,Blue,92.37,35.9,59.21,2025-08-06,20,,No,
FB000188,Tops,Uniqlo,Verano,XXL,Beige,34.06,0.0,34.06,2025-08-06,39,4.5,No,
FB000189,Vestidos,Zara,Verano,L,Pink,173.42,0.0,173.42,2025-08-06,47,4.2,No,
FB000190,Pantalones,Uniqlo,Primavera,XXL,Brown,66.51,0.0,66.51,2024-10-04,32,2.1,No,
FB000191,Pantalones,Uniqlo,Otoño,XXL,Blue,72.44,7.1,67.3,2025-08-06,10,1.8,No,
FB000192,Tops,Ann Taylor,Otoño,S,Black,81.2,0.0,81.2,2025-08-06,3,1.5,No,
FB000193,Ropa de abrigo,Gap,Verano,XXL,Red,104.5,12.3,91.65,2025-08-06,42,,No,
FB000194,Vestidos,Gap,Invierno,XL,Pink,57.53,13.0,50.05,2025-08-06,12,4.1,No,
FB000195,Zapatos,Banana Republic,Verano,XXL,Gray,142.58,0.0,142.58,2025-08-06,25,4.8,Si,Problema de calidad
FB000196,Vestidos,Zara,Otoño,XXL,Green,162.23,29.4,114.53,2025-08-06,41,4.0,Si,Problema de calidad
FB000197,Pantalones,Ann Taylor,Primavera,XXL,Red,32.1,51.7,15.5,2024-11-23,27,,No,
FB000198,Zapatos,Uniqlo,Otoño,L,Black,162.41,42.7,93.06,2025-08-06,22,4.8,No,
FB000199,Tops,Banana Republic,Otoño,M,Gray,77.46,57.5,32.92,2025-08-06,23,4.0,No,
FB000200,Tops,H&M,Otoño,XXL,Blue,103.42,56.1,45.4,2025-08-06,4,4.7,No,
FB000201,Pantalones,Zara,Primavera,XS,Green,42.91,33.3,28.62,2024-11-23,18,,No,
FB000202,Zapatos,Zara,Verano,XL,Green,144.92,17.0,120.28,2025-08-06,32,2.0,No,
FB000203,Zapatos,Banana Republic,Verano,XS,Black,93.07,23.9,70.83,2025-08-06,10,3.5,Si,Cambio de opinión
FB000204,Ropa de abrigo,H&M,Verano,S,Red,119.96,0.0,119.96,2025-08-06,20,1.1,No,
FB000205,Accesorios,Forever21,Verano,,Gray,42.04,50.9,20.64,2025-08-06,43,2.3,Si,Artículo incorrecto
FB000206,Accesorios,Banana Republic,Invierno,,Red,54.45,0.0,54.45,2025-08-06,12,2.7,No,
FB000207,Tops,Mango,Primavera,M,Green,66.95,36.4,42.58,2024-09-28,44,1.9,Si,Problema de calidad
FB000208,Tops,Ann Taylor,Primavera,XL,Beige,116.96,8.8,106.67,2025-04-29,33,1.6,No,
FB000209,Tops,Forever21,Otoño,XXL,Pink,111.14,0.0,111.14,2025-08-06,49,1.6,No,
FB000210,Tops,Banana Republic,Otoño,XS,Blue,59.6,0.0,59.6,2025-08-06,40,2.1,No,
FB000211,Tops,Ann Taylor,Primavera,S,Gray,25.49,16.7,21.23,2025-05-23,32,,No,
FB000212,Tops,Zara,Primavera,M,Black,82.94,0.0,82.94,2025-07-17,46,1.5,No,
FB000213,Tops,Uniqlo,Primavera,L,Blue,99.71,0.0,99.71,2024-08-21,23,1.4,No,
FB000214,Accesorios,Banana Republic,Otoño,,Black,69.74,0.0,69.74,2025-08-06,11,3.3,Si,Cambio de opinión
FB000215,Pantalones,H&M,Verano,XXL,Green,57.19,0.0,57.19,2025-08-06,12,2.5,No,
FB000216,Tops,H&M,Verano,XXL,Red,58.65,0.0,58.65,2025-08-06,4,1.1,No,
FB000217,Ropa de abrigo,Uniqlo,Otoño,XL,Pink,110.22,0.0,110.22,2025-08-06,4,1.6,No,
FB000218,Tops,Zara,Verano,XXL,Pink,69.36,0.0,69.36,2025-08-06,25,,No,
FB000219,Pantalones,Zara,Invierno,S,Black,87.03,0.0,87.03,2025-08-06,39,4.3,No,
FB000220,Vestidos,Zara,Invierno,XXL,Brown,160.6,18.4,131.05,2025-08-06,41,3.0,No,
FB000221,Ropa de abrigo,H&M,Primavera,XS,Purple,167.02,0.0,167.02,2025-01-30,26,2.6,Si,Problema de tamaño
FB000222,Tops,Zara,Verano,XXL,Gray,26.09,0.0,26.09,2025-08-06,32,4.6,Si,Dañado
FB000223,Ropa de abrigo,H&M,Verano,XL,Brown,246.65,0.0,246.65,2025-08-06,17,2.9,Si,Dañado
FB000224,Ropa de abrigo,Forever21,Verano,S,Red,206.91,0.0,206.91,2025-08-06,34,2.3,No,
FB000225,Vestidos,Gap,Invierno,XL,Black,85.08,0.0,85.08,2025-08-06,29,,No,
FB000226,Ropa de abrigo,Forever21,Primavera,XXL,White,240.32,54.8,108.62,2024-12-27,3,4.5,No,
FB000227,Vestidos,Uniqlo,Otoño,XXL,Red,130.12,1.4,128.3,2025-08-06,0,5.0,No,
FB000228,Pantalones,H&M,Primavera,XS,Black,42.29,15.8,35.61,2024-11-02,11,1.6,No,
FB000229,Ropa de abrigo,H&M,Primavera,S,Beige,191.54,0.0,191.54,2024-10-10,18,1.2,No,
FB000230,Accesorios,Ann Taylor,Primavera,,Beige,42.23,0.0,42.23,2025-07-14,15,,No,
FB000231,Zapatos,H&M,Verano,S,Gray,109.76,0.0,109.76,2025-08-06,16,4.3,No,
FB000232,Accesorios,Mango,Verano,,Red,76.8,43.3,43.55,2025-08-06,24,,No,
FB000233,Vestidos,Forever21,Invierno,,Black,56.34,22.4,43.72,2025-08-06,37,2.5,Si,Artículo incorrecto
FB000234,Tops,Gap,Otoño,,Beige,88.41,0.0,88.41,2025-08-06,24,4.4,No,
FB000235,Tops,Gap,Primavera,S,Black,25.96,0.0,25.96,2024-10-04,2,1.4,No,
FB000236,Pantalones,Zara,Primavera,XXL,Red,60.25,0.0,60.25,2024-08-16,25,4.1,No,
FB000237,Accesorios,H&M,Otoño,,Red,52.33,19.1,42.33,2025-08-06,4,,No,
FB000238,Accesorios,Mango,Otoño,,White,67.61,0.0,67.61,2025-08-06,14,1.8,No,
FB000239,Zapatos,Forever21,Primavera,L,Brown,136.0,0.0,136.0,2025-08-01,46,4.5,No,
FB000240,Zapatos,Zara,Otoño,,Brown,74.48,0.0,74.48,2025-08-06,24,3.7,No,
FB000241,Vestidos,Forever21,Otoño,XS,Pink,101.39,0.0,101.39,2025-08-06,33,2.4,Si,Problema de tamaño
FB000242,Vestidos,Forever21,Otoño,XXL,Green,169.68,41.7,98.92,2025-08-06,43,4.6,No,
FB000243,Accesorios,Forever21,Invierno,,Purple,52.45,0.0,52.45,2025-08-06,34,2.1,No,
FB000244,Zapatos,Uniqlo,Verano,XXL,Pink,153.85,47.6,80.62,2025-08-06,12,3.1,No,
FB000245,Pantalones,Mango,Otoño,M,Brown,32.7,50.5,16.19,2025-08-06,46,1.3,No,
FB000246,Ropa de abrigo,Uniqlo,Otoño,L,Navy,104.27,54.6,47.34,2025-08-06,42,4.2,No,
FB000247,Vestidos,Forever21,Verano,M,Gray,80.04,50.9,39.3,2025-08-06,45,,No,
